contact_id,first_name,last_name,email,city,state,zip_code,donor_status,contact_created_date,first_gift_date,last_gift_date,total_gifts,total_number_of_gifts,average_gift,giving_vehicle,subscription_type,subscription_status,subscription_start_date,email_open_rate,last_email_click_date,event_attendance_count,wealth_score,notes,p2g_score,gift_capacity_rating,estimated_annual_donations,title,deceased,biography,business_affiliations,community_affiliations,expertise_and_interests,do_not_contact,do_not_call,email_opt_out,preferred_phone,preferred_email,hedgehog_review_subscriber,institute_status,foundation_status,lead_source,largest_gift,smallest_gift,best_gift_year,last_gift_amount
003XX00000Qpl2Lvsi,Edward,Miller,edward.miller46@example.com,Chapel Hill,NC,27738,prospect,1998-04-07,,,,,,,none,never,,,,0,,Connected through local arts community,26,Entry-Level,3639.83,,0,,,,"American intellectual history, political philosophy",1,1,1,,,0,None,Prospect,Hedgehog Review,,,,
003XX00000jPi6Uves,Ryan,Carter,ryan.carter47@example.com,,,,prospect,2012-11-25,,,,,,,print,expired,2021-11-26,0.486,2023-03-24,0,,,42,Entry-Level,177.09,,0,,"Managing Director, Cornerstone Capital Advisors",,,0,0,0,Mobile,,1,None,Prospect,Hedgehog Review,,,,
003XX00000PVxE7cPr,Bruce,Sato,bruce.sato48@example.com,Columbus,OH,43283,prospect,2013-06-17,,,,,,,both,active,2000-06-03,0.065,,5,,,,,3492.21,,0,,,,,0,0,0,Home,Work,1,None,Prospect,Direct Mail,,,,
003XX000005Sij0phX,Diego,Chen,diego.chen49@example.com,,,,lapsed,1996-07-08,2018-12-24,2023-02-28,20.0,4,5.0,check,print,active,2017-10-17,,,0,4,Legacy Society prospect,11,,,,0,Former partner at Sullivan & Cromwell; active in arts and cultural philanthropy.,,,,0,0,1,,,1,None,None,Hedgehog Review,20.0,20.0,2018,20.0
003XX00000biZBVFlU,Melissa,Zhang,melissa.zhang50@example.com,New York,NY,10199,lapsed,2003-11-22,2016-09-19,2022-07-25,250,2,125.0,check,digital,active,2007-07-02,0.37,2025-07-04,0,3,Met at conference 2019,40,Entry-Level,,,0,,,,,0,0,0,,Personal,1,None,Annual Donor,Hedgehog Review,175,75,2019,75
003XX000008wURwW5M,Johnny,Diallo,johnny.diallo51@example.com,,,,prospect,2017-05-04,,,,,,,print,expired,2009-05-27,0.112,,0,,,,,3604.66,,0,Retired diplomat; supporter of cultural exchange programs and international scholarship.,,,,0,0,0,,,1,None,Prospect,Website,,,,
003XX00000voWoC8qY,Lisa,Wilson,lisa.wilson52@example.com,,,,subscriber_only,1997-10-02,,,,,,,digital,active,2009-11-30,,,0,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000YvkfVBGZ,Evelyn,Mitchell,evelyn.mitchell53@example.com,,,,prospect,1999-05-11,,,,,,,digital,active,2009-04-12,0.148,,0,1,Prefers phone contact,9,,,,0,,,,,0,0,0,,,1,None,Prospect,Event,,,,
003XX00000MuyDG2LU,Mary,Ramirez,mary.ramirez54@example.com,Manhattan,NY,10167,active,2013-10-21,2020-05-21,2021-08-31,75,5,15.0,check,none,never,,0.417,2022-10-17,0,3,,,,458.97,,0,,,,,0,0,0,Home,Personal,0,None,None,Board Referral,30,20.0,2020,20.0
003XX00000qZ0eFBvS,Harold,Patel,harold.patel55@example.com,Naperville,IL,60699,active,2015-03-22,2021-05-20,2024-03-31,125,5,25.0,stock,digital,expired,2001-11-12,0.242,,1,,,,,,,0,,,,,0,0,0,,Personal,1,Friend,Annual Donor,Hedgehog Review,40,20.0,2022,25
003XX00000jhlK8Sj7,Timothy,Davis,,Kirkland,WA,98017,subscriber_only,2011-03-22,,,,,,,both,active,2014-06-13,,,0,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000ejQZcn2F,Amy,Chen,amy.chen57@example.com,Bronx,NY,10158,prospect,2007-02-03,,,,,,,none,never,,,,2,3,,,,,,0,,,Junior League of Richmond; Arts Council of Greater Richmond,,1,1,1,,Personal,0,None,Prospect,Event,,,,
003XX000002S22FWFp,Louis,Taylor,louis.taylor58@example.com,Richmond,VA,23039,prospect,2020-10-13,,,,,,,print,active,2003-06-30,0.401,,10,,,,,,,0,,,,,0,0,0,Home,,1,None,Prospect,Hedgehog Review,,,,
003XX00000mJZq1FGu,Rachel,Ramirez,rachel.ramirez59@example.com,Washington,DC,20240,prospect,2006-11-22,,,,,,,digital,active,2012-10-12,0.303,2024-11-09,0,,,18,Entry-Level,,,0,,"Board of Directors, Charlottesville Symphony Orchestra",,,0,0,0,,,1,None,Prospect,Email Campaign,,,,
003XX00000EQCDwfmf,John,Kelly,john.kelly60@example.com,Fort Worth,TX,77081,active,2011-03-24,2013-02-05,2020-01-18,850,14,60.71,check,digital,active,2002-12-19,0.29,,0,2,,27,,2322.74,,0,,,,,0,0,0,,,1,Affiliate,Annual Donor,Direct Mail,150,30,2014,45
003XX00000DsjEcWej,Anna,Sato,anna.sato61@example.com,New York,NY,10073,prospect,1993-02-12,,,,,,,print,expired,2010-12-20,,,0,,Board member referral,,,3729.26,,0,,,,,0,0,0,Mobile,,1,None,Prospect,Other,,,,
003XX000001vTFcWSw,Sarah,Sharma,sarah.sharma62@example.com,,,,prospect,2018-04-10,,,,,,,none,never,,0.392,2024-04-19,0,,,1,,,,0,,,,,0,0,0,,Personal,0,None,Prospect,Board Referral,,,,
003XX00000cukfnYkD,Kathryn,Mitchell,,Alexandria,VA,22033,subscriber_only,2024-06-07,,,,,,,digital,active,2009-02-03,,,0,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000GGbTHWvc,Paul,Walsh,paul.walsh64@example.com,Athens,GA,30320,lapsed,2020-01-24,2020-04-15,2021-06-30,35,1,35.0,online,none,never,,0.024,,3,,,5,,,,0,,,,,0,0,0,,Personal,1,None,None,Event,35,35,2021,35
003XX000004zUCcKjy,Steven,Lopez,steven.lopez65@example.com,Richmond,VA,23054,prospect,2009-03-14,,,,,,,digital,active,2006-09-01,,,1,,,26,Entry-Level,,,0,,,,,0,1,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000TQBlByRy,Christina,Tanaka,christina.tanaka66@example.com,Washington,DC,20329,prospect,2010-05-30,,,,,,,digital,expired,2002-07-05,0.714,2026-02-20,3,3,,,,,,0,,,,,0,0,0,,Personal,1,None,Prospect,Hedgehog Review,,,,
003XX00000s40UBk4w,Dorothy,Baker,dorothy.baker67@example.com,,,,new_donor,2006-08-18,2025-09-18,2025-12-28,35,3,11.67,check,print,expired,2021-11-08,0.096,,1,2,,6,,1663.96,,0,,,,"Cultural economics, arts philanthropy",0,0,0,Mobile,,1,None,None,Hedgehog Review,20.0,20.0,2025,20.0
003XX00000K2Frn2bQ,Samuel,Green,samuel.green68@example.com,Charlottesville,VA,22013,prospect,2014-05-31,,,,,,,none,never,,0.237,,0,,,13,,,,0,,,,"Sociology of religion, nonprofit management",0,0,0,,Work,0,None,Prospect,Email Campaign,,,,
003XX00000laDU8Zi5,Teresa,Perez,teresa.perez69@example.com,San Francisco,CA,94130,prospect,2017-04-30,,,,,,,none,never,,0.238,,1,2,Met at annual gala,27,,,,0,,,,,0,0,0,Work,,1,None,Prospect,Hedgehog Review,,,,
003XX00000FVh8ki0y,Sophia,Gonzalez,sophia.gonzalez70@example.com,Evanston,IL,60773,prospect,2013-11-09,,,,,,,none,never,,0.181,,1,,,9,,718.31,,0,,,,,0,0,0,Home,,1,None,Prospect,Hedgehog Review,,,,
003XX00000wmgaZJkv,Peter,Johnson,peter.johnson71@example.com,,,,subscriber_only,2007-04-08,,,,,,,both,expired,2011-11-06,,,0,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000jdKYmqYY,Ann,Diallo,ann.diallo72@example.com,,,,lapsed,2015-08-29,2018-09-02,2023-09-14,35,3,11.67,online,none,never,,0.43,,2,,,13,,,,0,,,,,0,0,0,Mobile,,0,Affiliate,None,Hedgehog Review,20.0,20.0,2019,20.0
003XX00000Pc4rQzfn,Stephanie,Davis,stephanie.davis73@example.com,Roanoke,VA,22062,prospect,2015-08-24,,,,,,,both,active,2007-05-03,0.307,,0,2,,,,,Pastor,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000cNSgmkA9,Frances,Hall,frances.hall74@example.com,,,,lapsed,2019-07-10,2022-11-07,2023-09-15,50,4,12.5,check,none,never,,0.42,,10,3,Attended homecoming reception,14,,,,0,,,,,0,0,0,,,1,None,None,Email Campaign,20.0,20.0,2022,20.0
003XX00000Sdtsi463,Kelly,White,kelly.white75@example.com,Manhattan,NY,10095,prospect,2007-11-12,,,,,,,digital,active,2020-10-20,0.22,,0,,,28,Entry-Level,,Provost,0,,,,,0,0,0,Mobile,Personal,1,None,Prospect,,,,,
003XX00000AQvKvevF,Raymond,Davis,raymond.davis76@example.com,Oakland,CA,94154,prospect,2016-12-21,,,,,,,print,active,2000-08-18,0.321,,0,5,,,,1561.19,,0,,,,,0,0,0,Mobile,,1,None,Prospect,Event,,,,
003XX00000tItkKWoC,Ryan,Lewis,ryan.lewis77@example.com,,,,prospect,2020-12-14,,,,,,,print,expired,2004-11-06,0.037,,0,,Met at conference 2019,,,3346.17,,0,,,,"International development, civil society",0,0,0,,,1,None,Prospect,Other,,,,
003XX00000SCeM5UAp,Patrick,Patel,patrick.patel78@example.com,,,,lapsed,2016-01-31,2017-10-02,2018-10-06,25,1,25.0,DAF,none,never,,0.033,,0,5,Board member referral,,,,,0,,,,,0,0,0,,,0,None,None,Board Referral,25,25,2018,25
003XX00000HrD6JZkx,Adam,Perez,adam.perez79@example.com,Alexandria,VA,22099,active,2020-05-09,2021-01-31,2023-10-17,25,4,6.25,online,print,expired,2000-07-21,0.318,,2,1,,,,,,0,,,,,0,0,0,,,1,Friend,None,Board Referral,20.0,20.0,2022,20.0
003XX000008DNnZOcx,Kathleen,Nelson,kathleen.nelson80@example.com,Atlanta,GA,30440,prospect,1993-10-19,,,,,,,print,active,2024-12-28,0.304,,0,,,30,Entry-Level,,,0,,,,"Technology ethics, digital humanities",0,0,0,Work,,1,None,Prospect,Hedgehog Review,,,,
003XX00000IssGlL5Y,Joshua,Mbeki,joshua.mbeki81@example.com,Philadelphia,PA,19343,lapsed,2019-03-16,2022-12-21,2023-10-19,800,9,88.89,online,none,never,,0.449,,0,4,,19,,,,0,,,,,0,0,0,,,1,None,Annual Donor,Email Campaign,200,25,2023,75
003XX00000Sr1s6nMm,Norma,Nakamura,norma.nakamura82@example.com,Brooklyn,NY,11216,prospect,2019-04-15,,,,,,,digital,active,2015-10-20,0.236,,12,4,,,,,Retired Attorney,0,Former partner at Sullivan & Cromwell; active in arts and cultural philanthropy.,,,,0,0,0,,Personal,1,None,Prospect,Hedgehog Review,,,,
003XX000001uiOwxRp,Wayne,Weinstein,wayne.weinstein83@example.com,,,,prospect,2020-05-14,,,,,,,digital,active,2000-07-31,0.08,,0,,,,,,,0,,,,,0,0,0,Mobile,Personal,1,None,Prospect,Hedgehog Review,,,,
003XX000000Ac6C5lv,Michelle,Walsh,michelle.walsh84@example.com,Marietta,GA,30462,lapsed,2020-11-15,2022-08-27,2025-08-07,25,1,25.0,stock,print,expired,2018-02-04,,,0,,,,,,,1,,,,,0,0,0,,,1,None,None,Email Campaign,25,25,2025,25
003XX0000046XhR4yX,Frank,Carter,frank.carter85@example.com,,,,prospect,2011-08-26,,,,,,,none,never,,0.358,2022-01-16,1,,,24,Entry-Level,,,0,,,,,0,1,0,Home,Personal,1,None,Prospect,Hedgehog Review,,,,
003XX000004ZbZTYHA,Diego,Robinson,diego.robinson86@example.com,,,,prospect,2019-04-09,,,,,,,print,expired,2016-01-17,0.112,,2,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000HAkh6Su4,Kelly,Jackson,kelly.jackson87@example.com,Washington,DC,20365,prospect,2018-11-02,,,,,,,none,never,,0.076,,12,,,,,,Trustee,0,,,,,0,0,0,,Work,0,None,Prospect,Hedgehog Review,,,,
003XX00000y7KTwsnR,Lawrence,Campbell,lawrence.campbell88@example.com,San Antonio,TX,78261,prospect,2011-11-08,,,,,,,both,active,2003-09-05,0.265,2024-04-09,1,,,,,2413.31,,0,,,,,0,0,0,,,1,None,Prospect,Direct Mail,,,,
003XX00000uIJjj2Jt,Danielle,Perez,danielle.perez89@example.com,,,,prospect,2015-12-09,,,,,,,digital,active,2010-07-01,,,0,,,,,,Retired Professor,0,,,,,0,0,0,,,1,None,Prospect,Direct Mail,,,,
003XX00000X4gV1edl,Janice,Allen,janice.allen90@example.com,Charlottesville,VA,22929,prospect,2009-09-29,,,,,,,print,active,2005-04-22,0.337,2025-04-24,0,,Board member referral,,,,President,0,Retired diplomat; supporter of cultural exchange programs and international scholarship.,,,,0,0,0,,,1,None,Prospect,Other,,,,
003XX00000lddNZIkv,Sharon,Liu,sharon.liu91@example.com,Brookline,MA,02192,subscriber_only,2018-04-01,,,,,,,print,active,2023-06-13,,,0,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000zlL3l2gu,Christian,Kumar,christian.kumar92@example.com,San Francisco,CA,94569,new_donor,2023-06-10,2025-11-16,2026-01-21,75,5,15.0,online,none,never,,0.303,,2,,,,,1169.76,,0,,,,,0,1,0,,Work,1,None,None,Email Campaign,20.0,20.0,2026,20.0
003XX000001aWRquZw,Nicholas,King,nicholas.king93@example.com,Washington,DC,20361,prospect,2020-10-28,,,,,,,digital,active,2005-05-05,0.326,2023-11-25,3,,,,,125.92,Attorney,0,,,,,0,0,0,,,1,None,Prospect,Other,,,,
003XX00000nbMoxRCl,Joseph,Thompson,joseph.thompson94@example.com,New York,NY,10086,prospect,2005-01-03,,,,,,,none,never,,,,0,,,,,,Board Member,0,Retired attorney; served on Foundation board 2010-2018.,,,,0,0,0,,,0,Fellow,Prospect,Hedgehog Review,,,,
